"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  
          0,           0,         149,      0.3554297286,      0.2833697178,                 0,                 0,                 0,       0.171674624,      0.3554297286,      0.2833697178,                 0,      0.7972594722,    0.001340613301,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,         149,      0.1592965941,      0.2528167823,                 0,                 0,                 0,       0.131072882,      0.1592965941,      0.2528167823,                 0,       1.587082158,    0.001332468911,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          2,           0,         149,     0.05472671595,      0.2196368803,                 0,                 0,                 0,     0.09609610415,     0.05472671595,      0.2196368803,                 0,       4.013339308,    0.001325197485,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          3,           0,         149,     0.00949160254,      0.1887404606,                 0,                 0,                 0,     0.07211321698,     0.00949160254,      0.1887404606,                 0,       19.88499411,     0.00131881673,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          4,           0,         149,   -0.003521317936,      0.1643079126,                 0,                 0,                 0,     0.05851539809,   -0.003521317936,      0.1643079126,                 0,      -46.66091377,     0.00131333004,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          5,           0,         149,   -0.001251796506,       0.149845393,                 0,                 0,                 0,     0.05270062866,   -0.001251796506,       0.149845393,                 0,      -119.7042749,    0.001428355138,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          6,           0,         140,    0.005352870835,      0.1468505252,                 0,                 0,                 0,     0.05189948067,    0.005352870835,      0.1468505252,                 0,       27.43397509,    0.001414145951,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          7,           0,         149,     0.01080052144,      0.1528260731,                 0,                 0,                 0,     0.05383294849,     0.01080052144,      0.1528260731,                 0,       14.14987915,    0.001400931107,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          8,           0,         144,     0.01347654419,       0.163402319,                 0,                 0,                 0,     0.05680196961,     0.01347654419,       0.163402319,                 0,       12.12494218,    0.001656729061,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          9,           0,         140,     0.01408480026,      0.1738233908,                 0,                 0,                 0,     0.05946505869,     0.01408480026,      0.1738233908,                 0,       12.34120382,    0.001637088648,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         10,           0,         135,      0.0138308512,      0.1812204239,                 0,                 0,                 0,     0.06100209118,      0.0138308512,      0.1812204239,                 0,       13.10262263,    0.001618621816,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         11,           0,         133,     0.01351536049,      0.1850445039,                 0,                 0,                 0,      0.0611631463,     0.01351536049,      0.1850445039,                 0,         13.691422,    0.001601356601,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         12,           0,         132,     0.01334202061,      0.1861912795,                 0,                 0,                 0,     0.06010315101,     0.01334202061,      0.1861912795,                 0,       13.95525348,    0.001996834854,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         13,           0,         103,     0.01323348387,      0.1858555323,                 0,                 0,                 0,     0.05829151585,     0.01323348387,      0.1858555323,                 0,        14.0443389,    0.001976855932,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         14,           0,          89,     0.01312998653,      0.1848143903,                 0,                 0,                 0,     0.05620216121,     0.01312998653,      0.1848143903,                 0,       14.07574866,     0.00195835131,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         15,           0,          88,     0.01302444643,      0.1834490379,                 0,                 0,                 0,      0.0541251498,     0.01302444643,      0.1834490379,                 0,       14.08497773,     0.00194135904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         16,           0,         129,     0.01291838286,      0.1818380804,                 0,                 0,                 0,     0.05214262166,     0.01291838286,      0.1818380804,                 0,       14.07591666,    0.001925911111,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         17,           0,         127,     0.01280014221,      0.1799365118,                 0,                 0,                 0,      0.0501751521,     0.01280014221,      0.1799365118,                 0,       14.05738381,    0.002445239154,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         18,           0,         124,     0.01266209496,      0.1776115901,                 0,                 0,                 0,     0.04811928164,     0.01266209496,      0.1776115901,                 0,       14.02703034,    0.002430809064,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         19,           0,         118,      0.0125055182,      0.1747545523,                 0,                 0,                 0,     0.04589935164,      0.0125055182,      0.1747545523,                 0,       13.97419519,    0.002418228483,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         20,           0,         102,     0.01232942868,      0.1712631583,                 0,                 0,                 0,     0.04349427838,     0.01232942868,      0.1712631583,                 0,        13.8905997,    0.002407529933,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         21,           0,          95,     0.01213641534,      0.1671148709,                 0,                 0,                 0,     0.04091302325,     0.01213641534,      0.1671148709,                 0,       13.76970598,    0.002398740491,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         22,           0,          91,     0.01192470852,      0.1623680767,                 0,                 0,                 0,     0.03825245668,     0.01192470852,      0.1623680767,                 0,       13.61610444,    0.002391881996,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         23,           0,          90,     0.01169400684,      0.1570614692,                 0,                 0,                 0,     0.03543626752,     0.01169400684,      0.1570614692,                 0,         13.430937,    0.003021616141,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         24,           0,          99,     0.01144583466,      0.1511882244,                 0,                 0,                 0,     0.03243367106,     0.01144583466,      0.1511882244,                 0,       13.20901699,    0.003018421819,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         25,           0,         102,      0.0111854697,      0.1448813928,                 0,                 0,                 0,     0.02941667416,      0.0111854697,      0.1448813928,                 0,       12.95264273,    0.003017355952,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         26,           0,         103,     0.01091557008,      0.1380588994,                 0,                 0,                 0,     0.02626938464,     0.01091557008,      0.1380588994,                 0,       12.64788722,    0.003018421819,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         27,           0,         104,     0.01064445877,      0.1307858146,                 0,                 0,                 0,      0.0230574824,     0.01064445877,      0.1307858146,                 0,       12.28675102,    0.003021616141,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         28,           0,         105,     0.01037709017,      0.1230397681,                 0,                 0,                 0,     0.01974576029,     0.01037709017,      0.1230397681,                 0,       11.85686605,    0.002972261537,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         29,           0,         106,     0.01011716457,      0.1148460201,                 0,                 0,                 0,     0.01635260963,     0.01011716457,      0.1148460201,                 0,       11.35160146,    0.002980408699,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         30,           0,         108,    0.009866764256,      0.1062317713,                 0,                 0,                 0,     0.01289600093,    0.009866764256,      0.1062317713,                 0,       10.76662709,    0.002990842489,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         31,           0,         104,    0.009626227385,     0.09719610686,                 0,                 0,                 0,    0.009369855242,    0.009626227385,     0.09719610686,                 0,       10.09700924,     0.00300353188,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         32,           0,         110,    0.009402619841,     0.08782502008,                 0,                 0,                 0,     0.00580930873,    0.009402619841,     0.08782502008,                 0,       9.340483989,    0.003018438763,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         33,           0,         119,    0.009198845895,     0.07787199047,                 0,                 0,                 0,    0.001926945915,    0.009198845895,     0.07787199047,                 0,       8.465408744,    0.003035517849,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         34,           0,         109,    0.009009428497,     0.06749083537,                 0,                 0,                 0,   -0.002002558378,    0.009009428497,     0.06749083537,                 0,       7.491133915,    0.003054716577,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         35,           0,         141,    0.008842097234,     0.05696205244,                 0,                 0,                 0,   -0.005774972592,    0.008842097234,     0.05696205244,                 0,       6.442142733,    0.003075975012,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         36,           0,         141,    0.008700662062,     0.04638513635,                 0,                 0,                 0,   -0.009350829719,    0.008700662062,     0.04638513635,                 0,       5.331219167,    0.003099225762,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         37,           0,         139,    0.008589473171,     0.03584268188,                 0,                 0,                 0,    -0.01272446545,    0.008589473171,     0.03584268188,                 0,       4.172861497,    0.003124393911,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         38,           0,         139,     0.00850885968,      0.0252033592,                 0,                 0,                 0,    -0.01608540461,     0.00850885968,      0.0252033592,                 0,        2.96201373,    0.003151396974,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         39,           0,         139,    0.008459918218,     0.01456080208,                 0,                 0,                 0,    -0.01935046157,    0.008459918218,     0.01456080208,                 0,       1.721151635,    0.003180144885,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         40,           0,         139,    0.008442110828,    0.003948167183,                 0,                 0,                 0,    -0.02250427172,    0.008442110828,    0.003948167183,                 0,      0.4676753555,    0.003210540024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         41,           0,         139,     0.00845455372,    -0.00660577854,                 0,                 0,                 0,    -0.02553670768,     0.00845455372,    -0.00660577854,                 0,     -0.7813278806,    0.003242477293,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         42,           0,         138,    0.008496430487,    -0.01704430027,                 0,                 0,                 0,    -0.02841593496,    0.008496430487,    -0.01704430027,                 0,      -2.006054224,    0.003275844237,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         43,           0,         137,    0.008566969732,    -0.02737264979,                 0,                 0,                 0,    -0.03117953705,    0.008566969732,    -0.02737264979,                 0,      -3.195137913,    0.002656375677,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         44,           0,         135,    0.008664681631,    -0.03751034501,                 0,                 0,                 0,    -0.03377516299,    0.008664681631,    -0.03751034501,                 0,      -4.329108282,    0.002690622539,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         45,           0,         134,    0.008788457565,    -0.04748030314,                 0,                 0,                 0,    -0.03626455837,    0.008788457565,    -0.04748030314,                 0,      -5.402575229,    0.003318907183,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         46,           0,         132,    0.008935008073,    -0.05719494899,                 0,                 0,                 0,    -0.03857685859,    0.008935008073,    -0.05719494899,                 0,      -6.401219621,    0.003355166024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         47,           0,         134,    0.009101641063,    -0.06662517235,                 0,                 0,                 0,    -0.04072286204,    0.009101641063,    -0.06662517235,                 0,      -7.320127424,      0.0033922274,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         48,           0,         133,    0.009285066035,    -0.07574561707,                 0,                 0,                 0,    -0.04270000072,    0.009285066035,    -0.07574561707,                 0,      -8.157789809,    0.002851452778,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         49,           0,         127,    0.009482265921,    -0.08451932341,                 0,                 0,                 0,     -0.0444939074,    0.009482265921,    -0.08451932341,                 0,       -8.91340995,    0.002886757931,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         50,           0,         119,    0.009692577882,    -0.09296660884,                 0,                 0,                 0,    -0.04616999889,    0.009692577882,    -0.09296660884,                 0,      -9.591525595,    0.002922518002,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         51,           0,         119,    0.009911812621,     -0.1010358192,                 0,                 0,                 0,    -0.04764804861,    0.009911812621,     -0.1010358192,                 0,      -10.19347551,    0.002475323494,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         52,           0,         118,      0.0101363602,     -0.1086636704,                 0,                 0,                 0,    -0.04890296624,      0.0101363602,     -0.1086636704,                 0,      -10.72018637,    0.002506726917,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
