"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.662695429,      -21.41670061,               -32,      -6.131693331,      0.8984704303
          0,           0,           1,      -4.835979647,      -4.018808848,      -7.076539569,      -6.018234633,        2.01008813
          0,           0,           2,      -5.167811404,      -4.119411498,      -6.751887736,       -5.88590136,       1.389092456
          0,           0,           3,      -5.209620618,      -4.198860386,      -6.603498545,      -6.006296457,       0.988327668
          0,           0,           4,       -5.28813435,       -4.26141157,      -6.482747153,      -6.107488997,      0.6797932796
          0,           0,           5,      -5.380655907,      -4.312084002,      -6.368276982,      -6.176258834,      0.4803895856
          0,           0,           6,      -5.428911376,      -4.355969281,       -6.26394297,       -6.22538743,      0.3464876005
          0,           0,           7,      -5.460593874,       -4.39421407,      -6.168463811,      -6.263886138,      0.2415520924
          0,           0,           8,      -5.485772959,      -4.428160036,      -6.079634622,      -6.296315612,      0.1532558739
          0,           0,           9,      -5.506485665,      -4.458677039,      -5.995786049,      -6.324808843,     0.07555235925
          0,           0,          10,      -5.524456529,      -4.485940331,      -5.915002134,       -6.35033072,    0.007291557444
          0,           0,          11,      -5.540891833,       -4.51045821,      -5.837623575,      -6.373646131,    -0.05317968823
          0,           0,          12,      -5.556569358,      -4.532631744,      -5.764187231,      -6.395238576,     -0.1072562283
          0,           0,          13,      -5.572033354,      -4.552799895,      -5.695319782,      -6.415437314,     -0.1560813735
          0,           0,          14,      -5.587658877,      -4.571262188,      -5.631683975,      -6.434480771,     -0.2005623032
          0,           0,          15,      -5.603636985,      -4.588290042,      -5.573934971,      -6.452545547,     -0.2414728334
          0,           0,          16,      -5.619927866,       -4.60411589,      -5.522624973,      -6.469753978,     -0.2794475481
          0,           0,          17,      -5.636217309,      -4.618925161,      -5.478142417,       -6.48619743,     -0.3146871668
          0,           0,          18,      -5.651889449,      -4.632922483,      -5.440845001,      -6.501975428,     -0.3475744052
          0,           0,          19,       -5.66605234,      -4.646274969,      -5.410725462,      -6.517167726,     -0.3784144904
          0,           0,          20,      -5.677756923,      -4.659103647,      -5.387207899,       -6.53180292,     -0.4083161916
          0,           0,          21,      -5.686209031,      -4.671350392,      -5.368990509,      -6.545839618,     -0.4363971245
          0,           0,          22,      -5.691406761,       -4.68305736,      -5.353717362,      -6.559334532,      -0.462972087
          0,           0,          23,       -5.69397403,      -4.694217596,      -5.338392152,      -6.571745594,     -0.5035156489
          0,           0,          24,      -5.694194703,      -4.702919918,       -5.32268129,      -6.582226283,     -0.5228346284
          0,           0,          25,      -5.694013961,      -4.711315445,      -5.303765048,      -6.592502962,     -0.5414069318
          0,           0,          26,      -5.693957749,       -4.71937615,      -5.281197302,       -6.60259307,     -0.5592904564
          0,           0,          27,      -5.694380216,      -4.727072955,       -5.25552279,      -6.612512462,     -0.5765351263
          0,           0,          28,      -5.695412828,      -4.734375137,       -5.22806283,      -6.622275359,     -0.5931617022
          0,           0,          29,      -5.696966976,      -4.741250214,      -5.200465779,      -6.631889724,     -0.6093215901
          0,           0,          30,      -5.698793819,      -4.747646177,      -5.174220611,      -6.641355869,     -0.6249071393
          0,           0,          31,      -5.700568419,      -4.753522082,      -5.150518274,      -6.650683694,     -0.6399423621
          0,           0,          32,       -5.70198422,      -4.758847021,      -5.130146403,      -6.659880566,      -0.654644546
          0,           0,          33,      -5.702840962,      -4.763588158,       -5.11346696,       -6.66894896,     -0.6689186239
          0,           0,          34,      -5.703071309,      -4.767759552,      -5.100595189,      -6.677902419,      -0.682895531
          0,           0,          35,      -5.702716495,      -4.771410017,      -5.091418568,      -6.686741043,     -0.6969239648
          0,           0,          36,      -5.701897897,        -4.7745883,      -5.085637984,      -6.695454168,     -0.7106275884
          0,           0,          37,      -5.700710737,      -4.777416638,      -5.082945248,      -6.704053318,     -0.7239901715
          0,           0,          38,      -5.699152296,      -4.780040303,      -5.083027994,      -6.712548004,      -0.736981966
          0,           0,          39,      -5.697101622,       -4.78261051,      -5.085613897,      -6.720939858,     -0.7498119837
          0,           0,          40,      -5.694366199,       -4.78524031,      -5.090491637,      -6.729215251,     -0.7624884116
          0,           0,          41,      -5.690750021,      -4.787998045,      -5.097518157,      -6.737366692,     -0.7746935841
          0,           0,          42,      -5.686081854,      -4.790938293,       -5.10658965,      -6.745406774,     -0.7864563038
          0,           0,          43,      -5.680278549,      -4.794067376,      -5.117630868,      -6.753338776,     -0.7979891882
          0,           0,          44,      -5.673439081,      -4.797304325,      -5.130596216,      -6.761152234,     -0.8089968128
          0,           0,          45,      -5.665804042,      -4.800535244,      -5.145378036,      -6.768854648,     -0.8199253827
          0,           0,          46,      -5.657675864,      -4.803635108,      -5.161782812,      -6.776467769,        -0.8309439
          0,           0,          47,      -5.649364145,      -4.806475234,      -5.179578074,      -6.784007757,     -0.8421598316
          0,           0,          48,      -5.641183331,      -4.808912236,      -5.198585042,      -6.791477686,     -0.8533853551
          0,           0,          49,      -5.633384228,      -4.810828245,      -5.218651208,      -6.798889896,     -0.8641457361
          0,           0,          50,      -5.626108574,      -4.812164533,      -5.239662954,      -6.806270625,     -0.8743635433
          0,           0,          51,       -5.61942111,      -4.812918577,      -5.261620232,       -6.81362888,     -0.8845436072
          0,           0,          52,      -5.613404316,      -4.813081249,      -5.284685419,      -6.820956335,     -0.8941220134
          0,           0,          53,      -5.608095436,      -4.812717205,      -5.308809569,      -6.828267306,     -0.9031354918
          0,           0,          54,      -5.603524852,      -4.811933192,      -5.333658323,      -6.835565114,      -0.912145291
          0,           0,          55,      -5.599760442,      -4.810817906,      -5.358474336,      -6.842836911,     -0.9212068447
          0,           0,          56,      -5.596867939,      -4.809470239,      -5.381735006,      -6.850084263,     -0.9301883602
          0,           0,          57,      -5.594864725,      -4.808024013,      -5.401151411,      -6.857306966,     -0.9402291875
          0,           0,          58,      -5.593752251,       -4.80654335,      -5.414234383,      -6.864485721,     -0.9502098123
          0,           0,          59,      -5.593467243,      -4.805101649,      -5.418877375,      -6.871624676,     -0.9595177901
          0,           0,          60,      -5.593871676,      -4.803778452,      -5.414438381,      -6.878725755,     -0.9689572992
          0,           0,          61,      -5.594801771,      -4.802570231,      -5.401937385,       -6.88577085,     -0.9780366046
          0,           0,          62,      -5.596071663,      -4.801490695,      -5.383617851,      -6.892771216,     -0.9865561432
          0,           0,          63,      -5.597481123,      -4.800555806,      -5.362159958,      -6.899725498,     -0.9951494656
          0,           0,          64,      -5.598861717,      -4.799708917,      -5.339708092,      -6.906620475,      -1.003102449
          0,           0,          65,      -5.600068749,      -4.798938532,      -5.318024007,      -6.913469635,      -1.010619603
          0,           0,          66,      -5.600959701,      -4.798231763,      -5.298323198,      -6.920264222,      -1.018013924
          0,           0,          67,      -5.601417284,      -4.797539599,      -5.281297375,      -6.926991951,      -1.024878406
          0,           0,          68,      -5.601330244,      -4.796855926,      -5.267478472,      -6.933665475,      -1.032916087
          0,           0,          69,       -5.60058451,       -4.79618516,      -5.257186641,      -6.940275588,      -1.041388342
          0,           0,          70,      -5.599114978,      -4.795491517,      -5.250507071,       -6.94681005,      -1.049167256
          0,           0,          71,       -5.59688171,      -4.794789297,      -5.247467718,      -6.953280886,      -1.056650844
          0,           0,          72,      -5.593895793,       -4.79407312,      -5.247962466,      -6.959681763,      -1.064212633
          0,           0,          73,      -5.590237618,      -4.793321601,       -5.25178496,      -6.966014237,      -1.071332674
          0,           0,          74,      -5.586008689,      -4.792548485,      -5.258635043,      -6.972269069,      -1.079697234
          0,           0,          75,      -5.581396077,       -4.79172175,      -5.268008275,      -6.978407536,      -1.087727355
          0,           0,          76,      -5.576571933,      -4.790839988,      -5.279335446,      -6.984444739,      -1.095397512
          0,           0,          77,      -5.571671107,      -4.789932707,      -5.291930791,      -6.990399468,      -1.103201169
          0,           0,          78,      -5.566845428,      -4.788984286,      -5.305078018,      -6.996270715,      -1.110451157
          0,           0,          79,      -5.562172773,      -4.788032892,      -5.317912225,      -7.002081965,      -1.117241635
          0,           0,          80,      -5.557694058,       -4.78710793,      -5.329631489,      -7.007839641,      -1.123831105
          0,           0,          81,      -5.553419732,      -4.786226617,      -5.339566476,      -7.013551007,      -1.130172483
          0,           0,          82,      -5.549297785,      -4.785437199,      -5.347265311,      -7.019226264,      -1.136991326
          0,           0,          83,      -5.545290624,      -4.784730128,      -5.352635887,      -7.024856796,      -1.143354771
          0,           0,          84,      -5.541319281,      -4.784130283,      -5.355870508,      -7.030443903,       -1.14980502
          0,           0,          85,      -5.537323685,       -4.78362393,      -5.357446198,       -7.03597964,      -1.156450605
          0,           0,          86,      -5.533243491,      -4.783202347,      -5.357990514,      -7.041461283,      -1.163012035
          0,           0,          87,      -5.529037105,      -4.782843292,      -5.358183105,      -7.046873673,      -1.169468898
          0,           0,          88,      -5.524680344,      -4.782520708,      -5.358662612,      -7.052195498,       -1.17656117
          0,           0,          89,      -5.520169975,      -4.782203884,      -5.359970398,       -7.05741039,      -1.182147823
